company_name,contact_email,contact_name,sector,notes,last_contacted,status
Belfius,,,Financial services,Large Belgian bank with ongoing agile transformation,,not_contacted
KBC Group,,,Financial services,Active SAFe implementation,,not_contacted
Proximus,,,Telecom,Known for large-scale agile transformation similar to Telenet,,not_contacted
ING Belgium,,,Financial services,Prior Capgemini client context,,not_contacted
Colruyt Group,,,Retail/IT,Growing IT department with agile programs,,not_contacted
Engie Electrabel,,,Energy,Large regulated environment,,not_contacted
Brussels Airlines,,,Aviation,Regulated context similar to EUROCONTROL,,not_contacted
Smals,,,Government IT,Belgian social security IT partner,,not_contacted
SNCB/NMBS,,,Transport,Prior Capgemini client,,not_contacted
SPF Finances,,,Government,Large IT transformation programs,,not_contacted
